x,y
1.2883538519169389,1
1.149272565126555,1
0.6543264176206218,1
0.6952359941668362,1
-1.1377753630587557,0
0.5546822187189289,0
0.8461257611937396,0
-0.5673384283245312,0
-0.5657973809405067,0
1.8893643206444606,0
0.1463898395750749,0
-0.06483838327206622,0
-0.2512479316015279,0
0.6404666913219803,0
-0.9398592563756234,1
-0.0745276550846387,1
-1.6328687684021108,0
-1.796290399782473,0
0.7686818833724288,1
-0.2514177836600461,0
-1.0630424731608938,0
-0.16498177505719336,0
-1.9095283586514555,1
-0.7899001827821667,0
-0.1286644621104605,0
0.2441947348885133,1
0.7946347006725663,1
-1.2973873963942277,0
0.5795935308758653,0
0.580352699033833,1
-0.19974294802619727,1
-2.4530896523366854,0
0.042399072005975653,1
1.3858196767967044,1
0.3919540902809146,1
-1.3181643991768917,0
1.4922186352839784,1
1.1322640607504406,0
-1.1836648541626575,0
-0.06496433869675498,1
0.3991601267855202,1
-1.2626197842852833,0
-0.6283705039282688,0
0.008674279928286474,1
-0.9105862728462256,0
-0.4917600234805796,1
-0.5468027700241722,1
2.1257271259525705,1
-1.6395060282756555,0
0.16130673835291165,1
